gia ton kivo 
	akmi		emvadon		xwritikotita		xwritikotita/kostos 
1.117005		7.486207		1.393689		7486.207520		0.000186 
1.118006		7.499618		1.397436		7499.618164		0.000186 
1.119006		7.513041		1.401189		7513.040527		0.000187 
1.120006		7.526475		1.404949		7526.475586		0.000187 
1.121006		7.539922		1.408716		7539.922363		0.000187 
1.122006		7.553381		1.412489		7553.380859		0.000187 
1.123006		7.566852		1.416270		7566.851562		0.000187 
1.124006		7.580334		1.420057		7580.333984		0.000187 
1.125006		7.593829		1.423850		7593.828613		0.000188 
1.126006		7.607336		1.427651		7607.335449		0.000188 
1.127006		7.620854		1.431458		7620.854492		0.000188 
1.128006		7.634385		1.435272		7634.385254		0.000188 
1.129006		7.647928		1.439093		7647.927734		0.000188 
1.130006		7.661482		1.442920		7661.482422		0.000188 
1.131006		7.675049		1.446755		7675.049316		0.000189 
1.132006		7.688628		1.450596		7688.627930		0.000189 
1.133006		7.702219		1.454444		7702.218750		0.000189 
1.134006		7.715821		1.458298		7715.821289		0.000189 
1.135006		7.729436		1.462160		7729.436035		0.000189 
1.136006		7.743062		1.466028		7743.062500		0.000189 
1.137006		7.756701		1.469903		7756.701660		0.000190 
1.138006		7.770352		1.473785		7770.352051		0.000190 
1.139006		7.784015		1.477674		7784.014648		0.000190 
1.140007		7.797689		1.481570		7797.689453		0.000190 
1.141007		7.811376		1.485472		7811.375977		0.000190 
1.142007		7.825075		1.489381		7825.075195		0.000190 
1.143007		7.838786		1.493297		7838.785645		0.000191 
1.144007		7.852509		1.497220		7852.508789		0.000191 
1.145007		7.866243		1.501150		7866.242676		0.000191 
1.146007		7.879990		1.505087		7879.989746		0.000191 
1.147007		7.893749		1.509031		7893.748535		0.000191 
1.148007		7.907519		1.512981		7907.519531		0.000191 
1.149007		7.921302		1.516939		7921.301758		0.000192 
1.150007		7.935097		1.520903		7935.096680		0.000192 
1.151007		7.948904		1.524874		7948.903320		0.000192 
1.152007		7.962722		1.528852		7962.722168		0.000192 
1.153007		7.976553		1.532837		7976.552734		0.000192 
1.154007		7.990396		1.536829		7990.395508		0.000192 
1.155007		8.004251		1.540828		8004.250488		0.000193 
1.156007		8.018117		1.544834		8018.117188		0.000193 
1.157007		8.031996		1.548846		8031.995605		0.000193 
1.158007		8.045887		1.552866		8045.887207		0.000193 
1.159007		8.059790		1.556893		8059.789551		0.000193 
1.160007		8.073704		1.560926		8073.703613		0.000193 
1.161008		8.087631		1.564967		8087.631348		0.000194 
1.162008		8.101569		1.569014		8101.569336		0.000194 
1.163008		8.115520		1.573069		8115.520508		0.000194 
1.164008		8.129483		1.577130		8129.483398		0.000194 
1.165008		8.143457		1.581199		8143.457520		0.000194 
1.166008		8.157445		1.585274		8157.444824		0.000194 
1.167008		8.171443		1.589356		8171.442871		0.000195 
1.168008		8.185454		1.593446		8185.454590		0.000195 
1.169008		8.199477		1.597542		8199.477539		0.000195 
1.170008		8.213511		1.601646		8213.511719		0.000195 
1.171008		8.227558		1.605756		8227.558594		0.000195 
1.172008		8.241617		1.609874		8241.617188		0.000195 
1.173008		8.255688		1.613998		8255.687500		0.000196 
1.174008		8.269771		1.618130		8269.770508		0.000196 
1.175008		8.283865		1.622268		8283.865234		0.000196 
1.176008		8.297972		1.626414		8297.971680		0.000196 
1.177008		8.312091		1.630567		8312.090820		0.000196 
1.178008		8.326221		1.634726		8326.221680		0.000196 
1.179008		8.340364		1.638893		8340.364258		0.000197 
1.180008		8.354519		1.643067		8354.518555		0.000197 
1.181008		8.368686		1.647248		8368.685547		0.000197 
1.182009		8.382865		1.651436		8382.865234		0.000197 
1.183009		8.397056		1.655631		8397.055664		0.000197 
1.184009		8.411258		1.659834		8411.257812		0.000197 
1.185009		8.425473		1.664043		8425.473633		0.000198 
1.186009		8.439700		1.668260		8439.700195		0.000198 
1.187009		8.453938		1.672483		8453.938477		0.000198 
1.188009		8.468189		1.676714		8468.189453		0.000198 
1.189009		8.482452		1.680952		8482.452148		0.000198 
1.190009		8.496727		1.685197		8496.726562		0.000198 
1.191009		8.511014		1.689449		8511.013672		0.000199 
1.192009		8.525312		1.693708		8525.312500		0.000199 
1.193009		8.539623		1.697975		8539.623047		0.000199 
1.194009		8.553946		1.702248		8553.945312		0.000199 
1.195009		8.568280		1.706529		8568.280273		0.000199 
1.196009		8.582627		1.710817		8582.626953		0.000199 
1.197009		8.596986		1.715112		8596.985352		0.000200 
1.198009		8.611357		1.719414		8611.356445		0.000200 
1.199009		8.625740		1.723724		8625.740234		0.000200 
1.200009		8.640135		1.728040		8640.134766		0.000200 
1.201009		8.654541		1.732364		8654.541016		0.000200 
1.202009		8.668961		1.736695		8668.960938		0.000200 
1.203009		8.683391		1.741034		8683.390625		0.000201 
1.204010		8.697834		1.745379		8697.833984		0.000201 
1.205010		8.712289		1.749732		8712.289062		0.000201 
1.206010		8.726755		1.754092		8726.754883		0.000201 
1.207010		8.741234		1.758459		8741.233398		0.000201 
1.208010		8.755725		1.762833		8755.724609		0.000201 
1.209010		8.770227		1.767215		8770.227539		0.000202 
1.210010		8.784742		1.771604		8784.742188		0.000202 
1.211010		8.799270		1.776000		8799.269531		0.000202 
1.212010		8.813808		1.780404		8813.808594		0.000202 
1.213010		8.828359		1.784814		8828.358398		0.000202 
1.214010		8.842921		1.789233		8842.920898		0.000202 
1.215010		8.857496		1.793658		8857.496094		0.000203 
1.216010		8.872084		1.798090		8872.083984		0.000203 
1.217010		8.886683		1.802530		8886.682617		0.000203 
1.218010		8.901293		1.806978		8901.292969		0.000203 
1.219010		8.915915		1.811432		8915.915039		0.000203 
1.220010		8.930551		1.815894		8930.550781		0.000203 
1.221010		8.945197		1.820363		8945.197266		0.000204 
1.222010		8.959856		1.824839		8959.856445		0.000204 
1.223010		8.974527		1.829323		8974.527344		0.000204 
1.224010		8.989210		1.833815		8989.209961		0.000204 
1.225011		9.003904		1.838313		9003.904297		0.000204 
1.226011		9.018611		1.842819		9018.611328		0.000204 
1.227011		9.033330		1.847332		9033.330078		0.000205 
1.228011		9.048061		1.851853		9048.061523		0.000205 
1.229011		9.062804		1.856380		9062.804688		0.000205 
1.230011		9.077559		1.860916		9077.558594		0.000205 
1.231011		9.092325		1.865458		9092.325195		0.000205 
1.232011		9.107104		1.870009		9107.104492		0.000205 
1.233011		9.121895		1.874566		9121.894531		0.000206 
1.234011		9.136698		1.879131		9136.698242		0.000206 
1.235011		9.151513		1.883703		9151.512695		0.000206 
1.236011		9.166340		1.888283		9166.339844		0.000206 
1.237011		9.181178		1.892870		9181.177734		0.000206 
1.238011		9.196030		1.897464		9196.029297		0.000206 
1.239011		9.210892		1.902066		9210.891602		0.000207 
1.240011		9.225767		1.906676		9225.767578		0.000207 
1.241011		9.240654		1.911293		9240.654297		0.000207 
1.242011		9.255552		1.915917		9255.552734		0.000207 
1.243011		9.270463		1.920549		9270.462891		0.000207 
1.244011		9.285386		1.925188		9285.385742		0.000207 
1.245011		9.300321		1.929834		9300.320312		0.000208 
1.246011		9.315268		1.934489		9315.267578		0.000208 
1.247012		9.330227		1.939150		9330.226562		0.000208 
1.248012		9.345198		1.943819		9345.197266		0.000208 
1.249012		9.360181		1.948496		9360.180664		0.000208 
1.250012		9.375175		1.953180		9375.175781		0.000208 
1.251012		9.390182		1.957871		9390.182617		0.000209 
1.252012		9.405201		1.962570		9405.201172		0.000209 
1.253012		9.420232		1.967277		9420.231445		0.000209 
1.254012		9.435275		1.971991		9435.275391		0.000209 
1.255012		9.450330		1.976713		9450.330078		0.000209 
1.256012		9.465396		1.981442		9465.395508		0.000209 
1.257012		9.480475		1.986179		9480.475586		0.000210 
1.258012		9.495566		1.990923		9495.566406		0.000210 
1.259012		9.510669		1.995674		9510.668945		0.000210 
1.260012		9.525784		2.000434		9525.783203		0.000210 
